Tweets,isLiterary
"@justincarterw @amalutmani @justintrudeau @francoislegault @jjhorgan @fordnation @fureyandrew and yes, i’m frustrated with people like you, who just want to blame justin for taking care of canadians while giving conservative premiers like kenney and ford a free pass",True
@npr same thing with so many cases. it’s you who don’t cover it so maybe start covering your or learning from the independent reporters that do.,False
ohh ahhh look at you who claimed to be not sexually interested in no genders. ohh ahh look at you now. how does it feels? sweet like honey. smooth like butter. get it let it roll~,True
@amyphanwest good luck. we need more people like you who understand what it's like where we are headed.,True
"when someone tells you who they are, believe it and joe biden has been telling us who he is for over 40 years now

if you thought ""nothing will fundamentally change""  would be positive,  then you seriously have no business purporting to gaf about anything but the bottom line",True
"@iamkiraj ""even tho i have birth to you, it's actually you who gave life to me"" 
words so meaningful and heart-felt😢
all i see is greatness 👏🏼👏🏼🥰",True
@dreamingkass nobody cares it’s not you who’s making the games.,False
@elijahkyama we all remind you who’s on the wheel😂#ole,False
@burntout32 @conserv11190902 @codyisagoodboy @donaldjtrumpjr if it’s so effective and so great then me not having it shouldn’t effect you. also you’re missing the point here bud. if i had the virus i do not need the vaccine because you who’s vaccinated and me who’s had the virus both have the same antibodies. dummy.,False
"[giveaway]

🏖 ""catlandia"" is open 🏖
come get some diys or items you don’t have! please be mindful of others behind you who want some too.

shops are open, f...

join here 👉 https://t.co/tupbzl97d3

#acnh #acnhgiveaway #acnhtrade",True
i’m a sophomore in college who has alot of labs to conduct and report and a coding class that takes up me whole weekend but yet and still i take the time out my day to stream and maintain a’s and high b’s unlike you who is projecting https://t.co/pzt51qmbsa,True
@valensrutagengw @otimmichael @aimarulinda @brendamutesi3 @lucyhockingsbbc @ckanimba @bbcworld @freethehero @ahbobin @shinani1 @davidhimbara @judirever @anaisekanimba @kittykurth @jayniemarie see how many people calling his freedom and how many are you who want to deny his rights then come back with your research.,True
@kimmybtw you think you who,False
"@busyelonmusk @hogefinance @hogemarketing is that you who put hundreds of hours of work for free to improve hoge project token?
doesn't seems like
who are you and what have you done for this community project?
where is your value in this project?
what is your purpose?
bitching isn't a purpose in a community project.",True
"@jeffthegk @thegkonline galatians 6:1a
brethren, even if anyone is caught in any trespass, you who are spiritual, restore such a one in a spirit of gentleness;",True
"@zorrotheavenger @alibeckzeck says you who got 2 ""experimental jabs"" and has no clue what's in the jab. you got those longitudinal studies for the safe and effective jab. nope cuz there isn't any. you know what was in that jab? nope you have no clue. but you have ""been assimilated""",True
"jika tidak ingin disakiti orang lain, jangan beri atau terima apapun (you who come from the star)",True
"i've said it before and i'll say it again. susan 👏 fucking 👏 collins. or . . . when someone shows you who they are the first, second, and third time, believe them. #susancollinsisahypocrite https://t.co/k0a8ckpcud",True
"for you who are sad to read the bible's description of #animal #sacrifices.
#jesus brought complete #peace to the present day on the cross. so you never have to kill #animals with human hands forever.
today the animals are our friends!
#bible #vegan #vegetarian #love #sacrifice",True
"✨ stolen kiss

lixpetistt would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/pnvmhok0dc https://t.co/e1wjob0uvn",True
"@colinbraziergbn *“racist” remarks. 

but wasn’t it you who put ezra levant on tv? you seem to like racists.",True
"i know i am in no position to say anything right now, but still, let me say this— what do you even know about doppo?! he tries his best with his life! and yet, you, who knows nothing is running his mouth… i don’t want to hear it!",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year shivxnr 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/alka5rgi9p https://t.co/6kkz1kj5hq",True
"you who swallowed a falling star, o heartless man, your heart shall soon be mine.",True
"@govpritzker you are friends w educators. have you asked why schools teach that usa is a horrible place? 

do you want to right wrongs &amp; improve outcomes in actuality? #illlinois if not you, who?

i've tried to speak to you for yrs. i've seen how schools are up close. ru there?",False
"keep make friends those who happy with your success who support you in worse 
stay away with those  who make fun at you who jealous &amp; insult you as a joke  
.
.
#friends",True
"@nathan__dee its people like you who are snakes, defending the oppressors and turning against those fighting for you. what is special about afrikaans? the most spoken native language is zulu followed by xhosa so what is special about afrikaans not san?",True
@themartyrcard was it you who told me to watch it?!!,True
i really wish ig told you who be sending your posts to people 😂,True
"you who swallowed a falling star, oh heartless man. your heart shall soon belong to me.",True
"@thomsentn @djuggler @timburchett @govbilllee i love nashville, and tennessee. that's why i find political operatives like you, who think that big business growth and people moving here is more important than the suffering endured by more than one in ten of our citizens so gross. if we're well governed, why is it a problem?",True
@thehill true colors on display.  belive her when she shows you who she is.,True
"@ronfilipkowski when someone tells you who they are, believe them!",True
@alisa2s @thetxpundit @zjustzed oh but honey it'll be you who stays home. what happens when you can't go into a grocery store sans a negative test or vaccine card?,True
"@john_msee @ztlorance @therobotbuddha @klwalpole14 @schreiberland no, the proof is on you to explain your fanciful conclusions. not on me saying your talking nonsense but on you who believe such unprovable silly dreamy bullshit.",True
"""if not you, who? if not now, when?""
i don't know. someone else. later. hey, you asked!",False
ayoooo the new update tells you who visited your profile 🤭,True
"be aroud people who believes in your dreams, who encourages you, who lift you higher it makes you want to push yourself more. it feels good to have that “cheerleader” someone who has our back.",True
"when someone shows you who they are, believe them. 🤷🏻‍♀️",True
@theh1d was it you who did the pissing?,True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year lan9i3 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/lofootxzd8 https://t.co/b6grskpwgj",True
@1mohamedomar @mofasomalia do they  told  to you who  kil you father bos,False
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year iosamub0t 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/sjfr37vuya https://t.co/awlcyfchlv",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year tehreenao 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/qqtrg2ic8x https://t.co/elninsyukv",True
"i want to try that effect that tells you who you look like, only fr it to tell me i look like sloth from the goonies, you guys know what that effect is?",True
"the best leaders aren’t the ones constantly reminding you who they are. they aren’t the ones always looking for photo ops, talking the loudest/most, seeking out opps to be seen instead of leading. being a leader isn’t about everyone (esp outside of your org) knowing who you are.",True
"chasing perfection isn't the goal, your growth journey is about pursuing the woman that lives inside you who is waiting to be discovered. you're going after her.  
she's worth it.✨

#confidenceforwomen #confidentwomen #confidencecoaching #confidentwomenglow
#confidencemindset",True
"@andy_murray nobody told you your service was a few strokes ""above par"" before? great coaching!?!? or was it you who was too stubborn to change it? well, it's never too late to learn. but it would have made some difference if you'd given it some attention ""a few days earlier"".",True
"@luvyouneighbor @johnpavlovitz cuz folks like you always stop  reading romans too soon:
2 you, therefore, have no excuse, you who pass judgment on someone else, for at whatever point you judge another, you are condemning yourself, because you who pass judgment do the same things.",True
"@dazacklol 

""you who tf-""",False
@jaksmimi2 emma ! love and prayers for you. sister ! 🙏🙏❤️❤️you are brave and strong ! you have the lord with you who keep you strong in him !,True
"@jeaniew333 @kokomothegreat no i was saying that about you who were willing to jump off a cliff because someone told you to cherish the life that you have, as opposed to looking forward to something that doesn't exist. the survival of the fittest comment was to you, specifically. lemming.",True
@emsrsue tis you who are sweet😘😘😘,True
@itsbradshepard one of the real issues with dealing with actual racism in this country are idiots like you who use the racism card as some kind of weapon. you don't like aew so this is your latest sword,True
"“but for you who fear my name, the sun of righteousness will rise with healing in his wings. and you will go free, leaping with joy like calves let out to pasture. ~ malachi 4:2 nlt https://t.co/ovvgnqyzda",True
"if not now, when? 
if not you, who?",False
@lotu5__ but like what’s wrong with ppl seeing you who gives a fuck what they think!!! wat is it that y’all do not want to be seen??,True
"@snixtysnixt everyone got their own preferences, and that is cool. but loool why generalise when its you who prefers it😂😂😂",True
"@3diian lol
i can’t remember ever having it as a kid (maybe i did 🤷🏻‍♀️). i just had some now and 😬.

hey, more for you and all you who love it 😅. i’m good with that!",True
@myalyn8 theyre transition to love their self and be happy with themselves. no one enjoys to see them suffer other then people like you who are for some reason filled with hate. it’s worse being trapped as someone they don’t wanna be i don’t see why it bothers you sm,True
@meghanmccain @dailymail when a person. shows you who they are.....believe them....,True
"after 4 weeks of being asked “what social identities make you who you are” in this pluralism class, i was the first person to finally bring up fatphobia in discussion. it is a massive part of my life and, frankly, all of our lives and i wish we could talk ab it more openly.",True
"once it's gone, it's gone and you'll never get that back. just think of all the people who are around you, who love you, who look after you.

how would they feel if they knew you were gone?.",True
"✨ stolen kiss

vyisu would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/v8l36fdjw3 https://t.co/oek1vt40jd",True
"when someone shows you who they are, listen. https://t.co/ldrz04gurv",True
"when these sad memories transcend time and space, and become permanently engraved, you, who have accepted them all without hesitation, are my angel of light",True
@benopaonyx1 @unclewizbid me den you who no dey like dey take pics? 😂,True
"ㅤ

   ▬▬▬▬▬ ❛ ᴜᴘɢʀᴀᴅᴇᴅ ᴏʀɪɢɪɴᴀʟ ᴠᴀᴍᴘɪʀᴇ⠅
         ㅤ     / “whiskey tells you who’s real and who isn’t.” /

ㅤㅤㅤ━━━━━   ₁vampires consumed by their own bloodlust, possess little to no control, usually mass murderers
         
        :･ﾟrt ↻ ♥ https://t.co/0dbnuatogk",False
"it’s not the slippery road, it’s you who don’t get a good grip.",False
@monicabridget21 the greatist guitar/rock and blue player of all times. f- you who don't agrre with him.  was in bed for a week after my 2nd dose.,False
"he would have been with you who was worshipped in jerusalem.,those captives who needs help to return, their neighbors should be given money,gold, property,and animals for the sacrifices to the lord god in the temple of jerusalem.,then the leaders of the house of judah and benjami",True
lemme remind you who put you on. 👌🏽 https://t.co/ykb8pwlvhx,True
"@dineshdsouza yet you, who are even more corrupt, walk free.

that’s sad.",True
that's you who can't keep a ole lady cause you keep fucking them friends huh,False
"go back to jerusalem and build again his temple of the lord god of israel.,he would have been with you who was worshipped in jerusalem.,those captives who needs help to return, their neighbors should be given money,gold, property,and animals for the sacrifices to the lord god in",True
"@asfan91 with ""fans"" like you, who needs rivals?",True
@ipsedixitcicero i love it because there are people like you who are willing to admit they didn't have all the information. it keeps me coming back. 💚🕊️,True
@6habio i'm simply repeating the essence of what the majority of the uygur and rest of the chinese population have to say about the situation. you are saying something different from that. it's you who is speaking over them.,True
@oneillr12 @tdgarden @nhlbruinssth @nhlbruins @celtics by joke you referring to yourself ro ? by real fans you mean big and tough unlike you who is afraid of a 💉.,True
"@alfdamvp appreciate you, who to get on it is a different issue lol 🤔",True
"the seats… in my life… how should i put this? i don’t want my heart to be affected by people who don’t have a place there. does that sound cold? well, i guess there are also guys like you who bring their own chair and take a seat.",True
"@hollyrorie @realcandaceo you should stay out of this, holly. it's people like you who messed donald trump up. i wonder if donald consulted @mike_pence. sure, probably...bad news.",True
"@danielandrewsmp there are other ways dan.  plandemic i more or less say, and its you who have made them angry, not a bloody virus that has now killed less people in this country since the vaccine roll-out, and there are more deaths from your safe and effective jab, there are other ways.",True
"@gillstolemyride @joshiballvids @atmospherec22 @rathfgc @mrmidlife1 @geos9104 but i can see discords being really good if you can find a group of people like you who want to play sets often as you can have a consistent idea of how you're improving

it's like how arcades were but with more people / info. probably too much at times though",True
"@mitchie02435305 @meidastouch @iampoliticsgirl fairly evident it’s you who is being defensive and cannot handle feedback. it isn’t meant for you, so no need to defend.",True
"@dr_hb7 @palliddh @drogon_dracarys @mattbinder israel doesn't bomb civilians. it bombs hamas and jihadi targets and gives warning to avoid civilians. it's people like you who expect israel not to attack hamas and therefore endanger its own civilians, or have 100% success avoiding civilians. that's a unique standard .",True
you’ll be just fine. there are many more just like you who will keep you company while you succumb to your fears &amp; paranoia rather than exercising critical thinking &amp; reasoned analytical process.  justin has 32% of population who think just like you do.   misery loves company. 😉 https://t.co/gtkhnluwxn,True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year catseungmo 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/wm55mzdme4 https://t.co/xxst6qnxbr",True
"the scent of fresh rain, and the scent of you, who is alive.",True
"i would like to hear your philosophy on loneliness. i won’t let you say you have none. you, who have stayed on this hill while watching the times flow by....
 
you must have some sort of fetishism around loneliness.",True
"@thebrittanyxoxo my dearest brittany,
you are a beautiful person. with flaws (not many in my eyes but nobody's perfect) and issues but this makes you who you are. your beautiful family makes you who you are. thank you for sharing your life, that stunning body and your #milesofsmiles here with us",True
"""it's you who should be disappointed in me, mr c.""",True
"hey ⁦@jimpatterson559⁩ you know what i am afraid of?  politicians like you who are paid by le to peddle false fear while our state is reeling from covid-19, drought and lack of affordable housing.  as it stands, you will never have my vote. https://t.co/bysdrmbry5",True
@timmyfallopian @luvadergolder @lose_mrs @cmoltzahn @drandrewsk @jkenney these triage protocols also apply to you tim. funny how you try to equate triage protocols as being the same as vaccine mandates. once again you fail horribly. try harder tim it’s only you who looks like the fool that you are!😂😂,True
"you, whos stronger than anyone... you, who were once closer to me than anyone... you, who i once admired... you, the strongest of all, who im going to beat here.",True
"@defjam ""i just told you who i think i am, a god"" 😂🔥",True
i love you for you who are. as i know you love me. what a lovely pair we make. may love always triumph over ignorance.,False
but it’s you who i want…,True
"@emoseal was it you who made the finchy doll? it’s boss that, you’re really talented 👍",True
@patches4dnf says you who has a piss kink ??? /lh,True
@joonscup but that’s the definition of presumably black people like you who are soo removed from their black ness that they participate in micro aggression like in this case discrediting black culture for some type of benefit they don’t even up getting a coon,True
"@shelettaisfunny @shelettaisfunny, we know you who cooking at the headquarters , so please excuse yourself from the invite 

(respectfully) 

little divorce leaving  tito’s for @grayduckspirits   i see you, maybe they should come down here to texassssssss🤣🤣🤣 https://t.co/o0qj0llj3e",True
"@dolemanrobert @chenweihua @thehill how is that changing the argument? i asked you ""who cares"", you told me who cares, and i commented on that. if you can't follow a basic conversation, you shouldnt probably talk about iq",False
"o you who have believed, bow and prostrate(sujood) &amp; worship your lord and do good - that you may succeed! 

surat ul hajj | verse: 77",True
"time will show you, who deserves your heart.",True
"@seraph76 @flightofsand oh, you need to cry! so horrifying!

actually, i find your attitude offensive, intolerant, hateful and utterly false. it is pseudointellectual nonsense makers like you who create antagonism and conflicts. not me,my asian girlfriend or this book.",True
this thug officer is showing you who he is. now do something about. fire him quick. https://t.co/d2m9jndbot,True
"in case you don’t see where the world is heading, let me tell you… find a niche, join a community of people as passionate as you who also want to learn hands on instead of going to uni and build the future with those anons! bypass the boomers. #bitcoin #btc #eth #avalanche",True
"✨ stolen kiss

lixpetistt would kiss you around the corner... 😏
and you, who would do it?

➡️ https://t.co/vwfmgogo6r https://t.co/8v1i6wqqdm",True
"@rsbnetwork you sir, are part of the problem. you and those who like you who refuse to listen. you might feel that i’m a leftist; but, nothing could be further from the truth. it sad  to see the republican party go down the fascist rabbit hole. the party mirrors what it claims to resist.",True
"when someone shows you who they are, believe them, and remember it. https://t.co/8xdcesk4ec",True
"@rma13fiona absolutely! for me, supporting the club has always been an escape and i thoroughly love it. just need to get used to this shower of shit opinions that comes with every draw/defeat though😅thankfully, there are many (like you), who can balance it out the other way. so, all good.",True
i find it difficult to understand how democrats seem surprised at mm . when someone shows you who they are believe them https://t.co/fp9yongxyf,True
@dalee1203 what's wrong with maine ? when someone shows you who they are believe them !  (maya angelou),True
"@dungeonmastersc it's actually quite good, but an annotated version that tells you who all those obscure historical figures are is essential.",True
"to be a duterte supporter 👊🏻 and marcos loyalist ❤️ is okay.

to be an aquino🎗️, mama leni 🍲, manny 🥊, isko 👆🏻 and ping 👮🏻‍♂️ supporter is fine too.

you know what's not okay? to be a pa-woke where you need to cancel the people around you who do not support your political stance.",True
"@lindyli @mayoisspicyy she's a republican. 

when someone shows you who they are, believe them the first time.

-maya angelou",True
"you’re a pretty bad person for saying this. you see, by calling her a “maga brownshirt” you’re not merely slandering her, who can’t defend herself, but everyone who supported trump in 2020. it is precisely people like you who are sowing hatred and division in america. https://t.co/6gebjnhva3",True
"(jsyk: you /do/ have to understand it if you're trying to represent it in media. or you have to have somebody with you, every step of the way, helping you, who does.

but to accept us and accommodate who we are, aside from that? you don't have to understand. just do it anyway.)",True
"fufu... amazing as always, kasumi. that's exactly the kind of thing that makes you who you are!",True
"@markknochel @chefvano @chron we're not dumb, buddy. we get it. it's you who doesn't get the texas law contains those blue-leaning cities. or you're just not listening. or it's not as big of deal to you 🤷🏻‍♀️",False
@danjone29920452 you have to push diversity because of people like you who say immigrants should be white only. and i didn't see biden cheering being a minority. he was stating facts.,True
@seamusing context my friend. those events happened so in the context of the game they meant something. if i asked you who missed for wolves you could tell me 🤷🏻‍♂️,True
@sharmarkei it’s me and you who should volunteers to rebuild our country. inshallah very soon everything will turn into good.,True
@fogarichi i understand. my son just became a driver too; in just his 1st week he saw the same things! ...but thank you for all you have done! there are lots of real americans that appreciate those like you who have done so much during these times of craziness! god bless you &amp; family!,True
"@robertshippey this article in the @guardian last month actually covered the rise of young people taking up smoking during lockdown. unfortunate news for those of us, like you, who thought this cancerous drug was on the way out
https://t.co/pyeeokyps6",True
"@facts_chek @ani 😂😂😂 tumlogo ki itni jalti hai. yes they are united states people, not people like you who are hired for 100 rup per day by congress govt to stand and 🤮",True
"@grinxtdoor gotta remind you who you truly belong to, haven’t i?",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year kookfluffly 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/qodxdukv7r https://t.co/elfrs1zqbt",True
@foden4prez @jkcorden typical people like you who can't stand to be a second without pigeonholeing and bothering someone for their musical tastes,False
there’s nothing but you who can let them in.,True
"@dectime2speakup @georgefoulkes @lesleyriddoch @nicolasturgeon if this did indeed happen then i bet he was brilliant . if no one got  second chances , three etc.what would yous unionist's do ? the uda , uvf and on and on ! it's yahoo's like you who do scotland down not our english neighbors !",True
"⠀⠀
⠀⠀⠀⠀family are not just people who coddle you, who grant you your every whim. they are people who fight for you, who you fight for.
⠀⠀",True
"86. his brother's shoulders, throwing a wink at taehyung who chuckled. 

jungkook smirked and playfully pinched his brother on the arm. 

""atleast i have a boyfriend unlike you who is still crushing helplessly~"" jungkook teased him and dodged the playful slap he was about to-",True
"the most dangerous people are not dangerous people ,it's the people trying to prove that they dangerous people. people like you who want acceptance but ain't really evil. 

stay strong be different!!!",True
"""[…] but because you decided to run and hide here, they have known a hunger that they never needed to feel, suffered pain that could have been avoided. yes, we did imbue them with their atma, but you need to realize that it's you who's been the root cause of all of this.""",False
"@xballislife31x @gerbalyn lol my opinion sucks ? why bc you couldn’t have an intelligent debate? 
bc you couldn’t back up your statement of facts. bc it’s ppl like you who think they know everything. but in fact i don’t know shit abt anything. ugly ppl really do be miserable",True
@10ktakes_ zimmer drafted and made you who you are now! the offensive coordinators coached rudy!,True
@cryptic_miind haha! nice try but everyone with a functioning brain here knows he clearly knows  his subject unlike you trying to score points by twisting facts. cryptic mind alright...it's you who is every bit fake,True
"@mileslunn @bachausprotonm1 @nogunsincanada i always do learn from them.

unlike you who have nothing of importance to offer.",True
"@teslaaibot @sangram2sahu humans is known among people, he forgets everything, you who are a robot, why did you forget ??😉🙃 https://t.co/mes6bbt2hh",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year holaescam 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/f5kgkewfam https://t.co/jex8nwn5iu",True
"i want you, who doesn’t care about any stares",False
what if social media disappeared? would you truly know how to be yourself without the world telling you who you think you should be,True
"@miragenos @pomegrana_te like, bro, i want you to be the better version of you, who is still whatever type of anarchist you are but doesn’t sound so corny about it.",True
@nanayawsuspence and it's made you who you are today 😎,True
"@xxcrayzeezxx @fredderikkk @pastajoe5 @wgrz they are also short staffed because of a global pandemic and scared boys like you who are rushing to the hospital once your tough guy attitude goes away, and you beg for your life.",True
@zealprecious1 @ogbenidipo nigerians go reply you who be your mate do you no my age,True
"you brood of vipers, how can you who are evil say anything good? ...i am not concerned that i am not known, i seek to be worthy to be known.",True
"#quran 

o you #people ! you #recite this #verse o you who believe! take care of yr ownselves. if yu follow the (right) guidance [&amp; enjoin what is right ( #islamic #monotheism ) &amp; forbid what is wrong (polytheism] no hurt can come to you from those who are in error
 5:105
#allah",True
"@22_gilly @gentlemansparky @mssweettd @hjoycegender @eyeedinburgh someone like you who believes our ""gender identity"" trumps our biological sex.",True
"@paykhar you can tweet whatever you want, its not the people, its you who is scared of backlash",True
@norytter like you who took this pics,True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year fxirykarl 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/dbt6albi1l https://t.co/zmaslsz3ph",True
@cardinalrlburke @guadalupeshrine your gratitude to god and all that work in the healthcare industry could have gone to protecting those who are exhausted from caring for people like you who refuse to be vaccinated.  perhaps this is god’s smite to you being a racist individual.,True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year itstayuki 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/kvueeybamc https://t.co/xdzyjqjw29",True
"@juliexbts neither tastes nor standards matter in front of me, you become to want me and only me, because it's you who made me 
 
– filter",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year darealsmoltoon 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/grcvvhhizh https://t.co/fwxpkgax3j",True
"@bobalosrex @aaron53487329 @eveblackwood69 @the_statesmen1 @wowhead this is the kind of nonsense you get with ""government intervention"". you get blizzard giving lip-service to people like you who seem to think it's acceptable progress when really all they're doing is making laughable changes to things literally no one took offense to",True
"@itesotdude if people like you who were among the planters forget, now who will tell  my grand kids 😓😓",True
"✨ new year's kiss

i'm preparing my best last year kiss and first of the next year pyro_demons 😘💕
and you, who will you kiss at midnight?

➡️ https://t.co/w77kd79k6n https://t.co/ti5ih7g3mk",True
"@jeffdekal @jswayart doesn't help this presumption; you seem to be ignoring people who respectfully point out why they don't like your choice, making it look like you're being purposefully obtuse.
true, you made one choice in a series of millions that make you who you are, but each choice says",True
"@chrischirp @davidmichaelbr i think we can do better: each kid in an airtight container... the ""bordeline criminals"" are scientists like you who are still pushing for eradication of the virus... you lost, that'a all. there is a vaccine to protect vulnerable  people,  give kids and young people a break...",True
"@kfool234 you can’t just tell people to “buck up” because they don’t conform to your emotional bar.

really sucks to have edgy gamers like you, who think they’ve got life figured out and telling people what to do, representing us. tsk tsk",True
@munyayiwashe @hwendec empty is you who thinks hashtags on twitter aren't important. do with twitter what is important and leave him to do what he sees important. geri-t?,True
@harkris31442509 i don’t even know who you’re talking about. i don’t watch desi tiktok and/or i am not familiar w anyone you’re talking about. maybe it’s you who needs to work on your communication skills. i saw what you wrote and called you out for it. it’s not called being ‘illiterate’,True
